scope,requested_budget,stratum,metric,delta_definition,favorable_direction,paired_seed_records,unique_task_clusters,mean_delta,median_delta,cluster_mean_delta,bootstrap_ci_low,bootstrap_ci_high,lookahead_wins,ties,lookahead_losses
A4_HUMAN_Seuma_2022,100,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.07261406046720494,0.0,-0.07261406046720494,-0.13579270500053714,-0.0176786029978703,27,30,3
A4_HUMAN_Seuma_2022,100,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.01768193097793989,0.00012470895856630152,0.01768193097793989,0.0038833524541650372,0.035427232245723084,30,27,3
A4_HUMAN_Seuma_2022,100,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
A4_HUMAN_Seuma_2022,100,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.09259667606375799,-0.08570017969237839,-0.09259667606375802,-0.13262109429315722,-0.05447490452034502,45,6,9
A4_HUMAN_Seuma_2022,100,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.02964941979381248,0.029820495389837193,0.02964941979381248,0.018925092589313842,0.0400490305864142,51,3,6
D7PM05_CLYGR_Somermeyer_2022,10,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,0.08205894980793992,0.0,0.08205894980793993,0.007906481296437166,0.15472747754467744,15,51,54
D7PM05_CLYGR_Somermeyer_2022,10,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,-0.06355830371547339,-0.03753552273254011,-0.06355830371547336,-0.11314961738451358,-0.008138658242019757,9,36,75
D7PM05_CLYGR_Somermeyer_2022,10,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.1,0.0,-0.1,-0.3,0.1,3,48,9
D7PM05_CLYGR_Somermeyer_2022,10,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,0.1288911071006664,0.0,0.12889110710066642,0.045642660477934936,0.22619101925774998,6,30,24
D7PM05_CLYGR_Somermeyer_2022,10,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.10087843846379707,-0.03753552273254011,-0.1008784384637971,-0.15666162484476437,-0.05183897534481103,0,21,39
D7PM05_CLYGR_Somermeyer_2022,10,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.1,0.0,-0.1,-0.3,0.1,3,48,9
D7PM05_CLYGR_Somermeyer_2022,10,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,0.035226792515213406,0.015500218639354496,0.035226792515213406,-0.07748223376962438,0.1466155042946322,9,21,30
D7PM05_CLYGR_Somermeyer_2022,10,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.026238168967149655,-0.036747102571180114,-0.026238168967149655,-0.1073711606483752,0.07323526978080988,9,15,36
D7PM05_CLYGR_Somermeyer_2022,20,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,0.12083560710741961,0.07973855735012665,0.12083560710741961,0.040143181211769845,0.20247585593425707,15,39,66
D7PM05_CLYGR_Somermeyer_2022,20,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,-0.10050471438799888,-0.08418751948689085,-0.10050471438799886,-0.16000232647573778,-0.03594920457755837,9,30,81
D7PM05_CLYGR_Somermeyer_2022,20,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.2,0.0,-0.2,-0.4,0.0,3,42,15
D7PM05_CLYGR_Somermeyer_2022,20,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,0.19483027033053785,0.11969986228201625,0.19483027033053785,0.09513969786943559,0.3041137992220066,6,21,33
D7PM05_CLYGR_Somermeyer_2022,20,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.15427604447728,-0.11694810651519855,-0.15427604447727997,-0.2240235045136977,-0.0915091891508765,0,15,45
D7PM05_CLYGR_Somermeyer_2022,20,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.2,0.0,-0.2,-0.4,0.0,3,42,15
D7PM05_CLYGR_Somermeyer_2022,20,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,0.046840943884301364,0.040421911165202884,0.04684094388430137,-0.07338382242782931,0.15501453440286145,9,18,33
D7PM05_CLYGR_Somermeyer_2022,20,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.046733384298717776,-0.042800873210006814,-0.046733384298717796,-0.1409792229329679,0.05602139002781187,9,15,36
