start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
8515,1307,False,29589.220416536125,29589.220416536125,3,-6366.804367878125,1,4461.139192294984,34050.35960883111,34050.35960883111,2,6016.0044915299,0,0.0,32677.356238581247,34050.35960883111,3,-1373.0033702498622,1,1373.0033702498622,32677.356238581247,34050.35960883111,3,-1373.0033702498622,1,1373.0033702498622,34050.35960883111,34050.35960883111,2,6016.0044915299,0,0.0
8711,2404,False,22818.49322124658,31840.15726491673,3,-8756.026810349329,2,14129.933825373126,33931.06526097946,33931.06526097946,2,2090.907996062735,0,3017.3617856402416,33546.12489959741,36948.427046619705,3,-3402.3021470222957,1,3402.3021470222957,33546.12489959741,36948.427046619705,3,-3402.3021470222957,1,3402.3021470222957,36948.427046619705,36948.427046619705,2,3786.2667534842185,0,0.0
9013,96,True,27578.40480675793,28166.621388953703,3,-6077.623432572134,1,6369.391884015455,31035.048105980048,31035.048105980048,2,2868.4267170263447,0,2912.7485847933385,31034.392429680425,31034.392429680425,3,877.697505453456,0,2913.404261092961,33947.796690773386,33947.796690773386,3,-2.3285483945678607,1,0.0,33947.796690773386,33947.796690773386,3,-2.3285483945678607,1,0.0
9271,499,False,30655.915342100125,30655.915342100125,3,-2813.143805093623,1,1165.4823888101164,31677.68957230342,31677.68957230342,3,1270.070908231588,0,143.70815860681978,31821.39773091024,31821.39773091024,3,478.12079223827095,0,0.0,31821.39773091024,31821.39773091024,3,478.12079223827095,0,0.0,31821.39773091024,31821.39773091024,3,478.12079223827095,0,0.0
9281,882,True,28873.36596222225,31481.57187331834,3,-3980.2178419476077,2,4997.927035049859,31481.57187331834,31481.57187331834,0,0.0,0,2389.721123953772,32602.434033941227,33734.904704093016,3,-1132.4706701517898,2,1268.8589633308839,33871.29299727211,33871.29299727211,3,-2393.5576908118674,1,0.0,33871.29299727211,33871.29299727211,3,-2393.5576908118674,1,0.0
9621,4057,False,28553.378362018,31400.690682597386,3,-2603.0447018220148,2,8496.780733260512,37050.15909527851,37050.15909527851,2,4048.595790153802,0,0.0,32967.27471428967,34377.58199703516,3,-1410.307282745489,1,4082.884380988842,31435.20814523737,37050.15909527851,3,-5614.9509500411405,1,5614.9509500411405,37050.15909527851,37050.15909527851,2,4048.595790153802,0,0.0
10026,239,True,31182.546201117748,31182.546201117748,3,-24.122299602063663,1,2054.457226562019,1454.3342518108743,1454.3342518108743,2,24.122299602063663,0,31782.669175868894,26348.094229432085,26348.094229432085,3,6.488247412794749,0,6888.909198247682,33237.00342767977,33237.00342767977,3,-24.122299602063663,1,0.0,33237.00342767977,33237.00342767977,3,-24.122299602063663,1,0.0
10040,9189,False,627.3035586972496,31864.465170849468,3,-31274.465170849468,1,35989.70477773338,36617.00833643063,36617.00833643063,2,1079.9365432870181,0,0.0,34067.14806203452,35178.03198555673,3,-1110.8839235222113,1,2549.860274396109,33211.935805906825,36617.00833643063,3,-3405.072530523801,1,3405.072530523801,36617.00833643063,36617.00833643063,2,1079.9365432870181,0,0.0
10559,10449,False,31062.629502067324,32726.652598686545,3,-1664.0230966192212,1,4987.8009920708755,36050.4304941382,36050.4304941382,2,4770.581083418125,0,0.0,33377.27376327747,33377.27376327747,3,177.87748218039633,0,2673.1567308607264,30185.8313298783,36050.4304941382,3,-5864.5991642599,1,5864.5991642599,36050.4304941382,36050.4304941382,2,4770.581083418125,0,0.0
11071,9113,False,31355.606670577938,31355.606670577938,3,-778.0161109369801,1,5587.30736371877,36942.91403429671,36942.91403429671,2,2836.1019196482484,0,0.0,33337.29523807127,36942.91403429671,3,-3605.6187962254407,1,3605.6187962254407,33337.29523807127,36942.91403429671,3,-3605.6187962254407,1,3605.6187962254407,36942.91403429671,36942.91403429671,2,2836.1019196482484,0,0.0
11149,86,False,592.0855609415032,29669.86008508351,3,-29079.86008508351,1,33224.535905264005,32854.48613532189,32854.48613532189,3,792.4996475277767,0,962.1353308836187,33816.621466205506,33816.621466205506,3,1461.9459025293072,0,0.0,33816.621466205506,33816.621466205506,3,1461.9459025293072,0,0.0,33816.621466205506,33816.621466205506,3,1461.9459025293072,0,0.0
11260,577,True,29214.55982648316,29838.81092079457,3,-1084.0200976085325,1,7868.273000943202,35090.287494489065,35090.287494489065,2,5251.476573694494,0,1992.5453329372976,30644.52762706524,30842.295517632487,3,-197.76789056724738,1,6438.305200361123,37082.83282742636,37082.83282742636,3,-7361.06445494666,1,0.0,37082.83282742636,37082.83282742636,3,-7361.06445494666,1,0.0
16382,9474,True,23701.66964164038,30537.500668208348,3,-6835.831026567968,2,10029.422714458888,29461.768097747907,29461.768097747907,0,0.0,0,4269.32425835136,33731.09235609927,33731.09235609927,3,-1563.9901783447021,1,0.0,33731.09235609927,33731.09235609927,3,-1563.9901783447021,1,0.0,33731.09235609927,33731.09235609927,3,-1563.9901783447021,1,0.0
